manga_id,url_manga,title,title_english,title_japanese,chapters,volumes,status,start_published,end_published,score,rank,authors,genres,themes
1,https://myanimelist.net/manga/1/Monster,Monster,Monster,MONSTER,162.0,18.0,Finished,1994-12-05T00:00:00+00:00,2001-12-20T00:00:00+00:00,9.15,5.0,"['Urasawa, Naoki']","['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']"
2,https://myanimelist.net/manga/2/Berserk,Berserk,Berserk,ベルセルク,,,Publishing,1989-08-25T00:00:00+00:00,,9.47,1.0,"['Miura, Kentarou', 'Studio Gaga']","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']"
3,https://myanimelist.net/manga/3/20th_Century_Boys,20th Century Boys,20th Century Boys,20世紀少年,249.0,22.0,Finished,1999-09-27T00:00:00+00:00,2006-04-24T00:00:00+00:00,8.95,13.0,"['Urasawa, Naoki']","['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Historical', 'Psychological']"
4,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou,Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,ヨコハマ買い出し紀行,142.0,14.0,Finished,1994-04-25T00:00:00+00:00,2006-02-25T00:00:00+00:00,8.67,61.0,"['Ashinano, Hitoshi']","['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life']",['Iyashikei']
7,https://myanimelist.net/manga/7/Hajime_no_Ippo,Hajime no Ippo,Hajime no Ippo: Fighting Spirit!,はじめの一歩,,,Publishing,1989-09-27T00:00:00+00:00,,8.73,45.0,"['Morikawa, George']","['Award Winning', 'Sports']",['Combat Sports']
8,https://myanimelist.net/manga/8/Full_Moon_wo_Sagashite,Full Moon wo Sagashite,Full Moon wo Sagashite,満月〈フルムーン〉をさがして,35.0,7.0,Finished,2001-12-01T00:00:00+00:00,2004-04-30T00:00:00+00:00,8.04,675.0,"['Tanemura, Arina']","['Comedy', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Music', 'Showbiz']"
9,https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE,Tsubasa: RESERVoir CHRoNiCLE,Tsubasa: RESERVoir CHRoNiCLE,ツバサ -RESERVoir CHRoNiCLE-,233.0,28.0,Finished,2003-05-21T00:00:00+00:00,2009-10-07T00:00:00+00:00,8.3,295.0,['CLAMP'],"['Action', 'Adventure', 'Drama', 'Fantasy']",[]
10,https://myanimelist.net/manga/10/xxxHOLiC,xxxHOLiC,xxxHOLiC,xxxHOLiC,213.0,19.0,Finished,2003-02-24T00:00:00+00:00,2011-02-09T00:00:00+00:00,8.37,234.0,['CLAMP'],"['Comedy', 'Drama', 'Mystery', 'Supernatural']",[]
11,https://myanimelist.net/manga/11/Naruto,Naruto,Naruto,NARUTO―ナルト―,700.0,72.0,Finished,1999-09-21T00:00:00+00:00,2014-11-10T00:00:00+00:00,8.07,616.0,"['Kishimoto, Masashi']","['Action', 'Adventure', 'Fantasy']",['Martial Arts']
12,https://myanimelist.net/manga/12/Bleach,Bleach,Bleach,BLEACH,705.0,74.0,Finished,2001-08-07T00:00:00+00:00,2016-08-22T00:00:00+00:00,7.86,1085.0,"['Kubo, Tite']","['Action', 'Adventure', 'Award Winning', 'Fantasy']",[]
13,https://myanimelist.net/manga/13/One_Piece,One Piece,One Piece,ONE PIECE,,,Publishing,1997-07-22T00:00:00+00:00,,9.22,4.0,"['Oda, Eiichiro']","['Action', 'Adventure', 'Fantasy']",[]
14,https://myanimelist.net/manga/14/Rave,Rave,Rave Master,RAVE,298.0,35.0,Finished,1999-07-07T00:00:00+00:00,2005-07-27T00:00:00+00:00,7.85,1131.0,"['Mashima, Hiro']","['Adventure', 'Comedy', 'Fantasy']",[]
15,https://myanimelist.net/manga/15/Mahou_Sensei_Negima,Mahou Sensei Negima!,Negima! Magister Negi Magi,魔法先生ネギま!,355.0,38.0,Finished,2003-02-26T00:00:00+00:00,2012-03-14T00:00:00+00:00,7.93,896.0,"['Akamatsu, Ken']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'Martial Arts', 'School']"
16,https://myanimelist.net/manga/16/Love_Hina,Love Hina,Love Hina,ラブひな,120.0,14.0,Finished,1998-10-21T00:00:00+00:00,2001-10-31T00:00:00+00:00,7.79,1310.0,"['Akamatsu, Ken']","['Award Winning', 'Comedy', 'Romance', 'Ecchi']",['Harem']
17,https://myanimelist.net/manga/17/Kareshi_Kanojo_no_Jijou,Kareshi Kanojo no Jijou,Kare Kano: His and Her Circumstances,彼氏彼女の事情,108.0,21.0,Finished,1995-12-22T00:00:00+00:00,2005-05-10T00:00:00+00:00,8.16,469.0,"['Tsuda, Masami']","['Comedy', 'Drama', 'Romance']",['School']
18,https://myanimelist.net/manga/18/Kodomo_no_Omocha,Kodomo no Omocha,Kodocha: Sana's Stage,こどものおもちゃ,54.0,10.0,Finished,1994-07-02T00:00:00+00:00,1998-10-03T00:00:00+00:00,8.3,295.0,"['Obana, Miho']","['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life']","['Love Polygon', 'School', 'Showbiz']"
19,https://myanimelist.net/manga/19/GetBackers,GetBackers,GetBackers,GetBackers -奪還屋-,344.0,39.0,Finished,1999-03-24T00:00:00+00:00,2007-02-21T00:00:00+00:00,7.62,2097.0,"['Kibayashi, Shin', 'Ayamine, Rando']","['Action', 'Comedy', 'Drama', 'Mystery', 'Supernatural', 'Ecchi']",[]
20,https://myanimelist.net/manga/20/Hikaru_no_Go,Hikaru no Go,Hikaru no Go,ヒカルの碁,198.0,23.0,Finished,1998-12-08T00:00:00+00:00,2003-07-14T00:00:00+00:00,8.12,528.0,"['Obata, Takeshi', 'Hotta, Yumi']","['Award Winning', 'Comedy', 'Drama', 'Supernatural']",['Strategy Game']
